"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント数","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント数"
"1722872748383649884","https://twitter.com/zukimo_klis23/status/1722872748383649884","https://t.co/Mdevwe1UN0","2023-11-10 07:04 +0000","0.0","0.0","NaN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1722871648775541005","https://twitter.com/zukimo_klis23/status/1722871648775541005","#コンテンツ入門2023
ちなみに40行きました。じゃあなんとかしますかね","2023-11-10 06:59 +0000","8.0","1.0","0.125","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1722871486321463444","https://twitter.com/zukimo_klis23/status/1722871486321463444","#コンテンツ入門2023
「なぜ組まないのですか？」

寒くて指が動かないから…","2023-11-10 06:59 +0000","7.0","2.0","0.2857142857142857","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1722871201037746405","https://twitter.com/zukimo_klis23/status/1722871201037746405","#コンテンツ入門2023
こんなぐあい https://t.co/kTSn9SovJX","2023-11-10 06:57 +0000","85.0","9.0","0.10588235294117647","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1722870128755536126","https://twitter.com/zukimo_klis23/status/1722870128755536126","#コンテンツ入門2023
Googleのやつでも行けると思うけど、面倒だろうな","2023-11-10 06:53 +0000","37.0","1.0","0.02702702702702703","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1722869986996408376","https://twitter.com/zukimo_klis23/status/1722869986996408376","#コンテンツ入門2023
なぜこのパソコンPIPが通らないんだ？","2023-11-10 06:53 +0000","36.0","1.0","0.027777777777777776","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1722869887738208572","https://twitter.com/zukimo_klis23/status/1722869887738208572","#コンテンツ入門2023
だけどそれじゃロマンがないよね、もうちょっとどうにかしたい","2023-11-10 06:52 +0000","29.0","4.0","0.13793103448275862","0.0","1.0","0.0","1.0","0.0","1.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1722869832054657110","https://twitter.com/zukimo_klis23/status/1722869832054657110","#コンテンツ入門2023
大人しく授業用アカウント作って、授業のときだけ使うにしたほうが良さそうだな","2023-11-10 06:52 +0000","28.0","3.0","0.10714285714285714","0.0","1.0","0.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1722868876940361924","https://twitter.com/zukimo_klis23/status/1722868876940361924","#コンテンツ入門2023
正味答えわかってるから、後はプログラムを組むだけ
https://t.co/ueLKrYs7IK","2023-11-10 06:48 +0000","124.0","7.0","0.056451612903225805","1.0","1.0","1.0","0.0","0.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1722868640360571134","https://twitter.com/zukimo_klis23/status/1722868640360571134","#コンテンツ入門2023
文字列内にあるかないかを確認できるんだったよね、Pythonって、それ使えば一発じゃん","2023-11-10 06:47 +0000","46.0","2.0","0.043478260869565216","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
